features
KRT6A
IGFBP6
KRT16
LGALS7
KRT5
KRT14
SPRR1B
KRT13
LGALS7B
LYPD3
KRT17
PKP1
S100A2
DSC3
IL1RN
SPRR1A
COL17A1
KRT15
C10orf99
S100A8
TP63
DAPL1
PLP2
LY6D
KRT6C
CLCA4
SERPINB13
SFN
POLR2J3
UPK3BL
CLCA2
GPX2
CSTA
SERPINB5
TUBB6
CAV1
ITGA6
FAT2
DUSP7
HSPB1
SPINK5
SERPINB1
ANXA8
ANXA8L1
GPNMB
LAD1
MT1X
PVRL1
KRT4
THBD
FABP5P3
FYB
BMP7
S100A14
TNS4
PLAT
NRARP
GPC1
DSG3
S100A10
S100A16
GLTP
ADH7
SH3BGRL3
FBLN1
ACKR3
FABP5
C16orf74
MMP28
GM2A
CD109
ARL4D
KRT6B
SERPINB2
FGFBP1
SDC1
GJB3
AQP3
PTTG1
CLDN1
IL20RB
WNT10A
PPP1R13L
JUP
ATP1B3
TRIM7
CCND2
SOX15
NOTCH1
LOXL4
RARG
PHLDA3
RAB38
PKP3
ZYX
IFI27L2
CAPG
PGM2
TIMP1
ZNF385A
TMEM43
NXN
TMPRSS11E
CFTR
CLCNKA
POSTN
CLCNKB
THBS1
AMACR
FXYD2
C1QTNF3-AMACR
FXYD6-FXYD2
LTBP2
ATP6V1B1
FOXI1
SDC2
NEURL1
EFHD1
ATP6V0A4
ASCL3
TMEM61
AKR1B1
RCAN2
SNTB1
ATP6V1G3
PDE1C
TFCP2L1
LINC01187
RARRES2
TMPRSS13
NGFR
KCNMA1
SLC35F3
STAP1
TRIM47
GPR116
NRIP3
MGAT5
TBC1D4
BSND
ITPR2
SEMA3C
SLC29A1
DMRT2
SSFA2
NCALD
ATP6V0D2
ATP7A
CGNL1
CDA
SULT1C2
NCKAP5
RPS6KC1
ATP6V1A
PSEN2
ST14
ATP6V0B
PLCG2
IGF1
HILPDA
AKAP7
TBC1D1
SCG2
PALM2-AKAP2
PPARGC1A
BCL2
GAREM
TPD52
AKAP2
ATP6V1C2
LBH
IGFBP5
BPIFA2
SP110
CSPG5
CAMK2B
CD9
GPRC5B
ARL6IP5
CCNJL
DDAH2
FOXP1
TRIM8
AKIP1
SERTAD4-AS1
SLC14A1
KLHL23
SMOC1
ANK2
ANKRD9
PHOSPHO2-KLHL23
CBR3
BMF
CCDC107
ITPKB
ATP1A1
EPCAM
IQGAP2
JAM3
WLS
TBC1D9
FAM195A
FAM127B
CHST15
LEF1
LIMA1
PLEKHG3
PLEKHF2
SLC12A2
RET
GOLM1
PPP2R3A
ATP6V0C
NDST1
SAV1
NEDD4L
TBC1D2B
HEPACAM2
ACVR1
ADM
ACSL1
KCNH1
RGMA
TWSG1
PRKAG2
MPC1
NUDT16L1
HPCAL1
PDK3
PRDM4
ID3
TMEM51
PTK2
PKIB
SCNN1B
CLGN
MAN2A1
JADE1
GLIDR
ETS1
CORO7
RAD51C
PYGB
CELF2
KLC1
ATP6V1F
SLC9A7
SHISA2
UBE2MP1
RERG
RNF34
FAM120AOS
PHF23
CA12
ID4
INPPL1
PSD3
PTAFR
H1F0
FAM174B
ATP6V0CP3
RBMXL1
UST
FRYL
PCBP4
TFPI
ATP11A
CCDC85C
AIFM1
ANGEL2
RECQL
VEGFB
STAC2
SC5D
USP53
GYG1
ACADS
PPP1R18
OSBPL1A
C9orf152
NT5C
KIAA1598
UBXN2B
GRPEL2
SIRT2
WDR1
SLC2A12
BCOR
ZNF410
BCR
GABARAPL1
TBC1D14
MTHFD1L
RALA
LRRC42
PPP1R12B
GPR160
NT5DC3
AKIRIN1
BRPF1
KRT80
CALML3
PI4KB
SUCLG1
TSSC1
DOCK11
AXIN1
ARL4A
CMAHP
RAB37
CCDC132
FAM114A1
METTL13
FAM43A
MEGF9
MEF2D
PXDN
BIK
SEC23B
SEC11C
FBXO32
MRPS26
BFAR
IMPA2
MAOA
PYGO2
APLP2
INO80
KRT18
GADD45G
SLC25A23
TMSB4X
AGPAT2
9-Sep
TGFB3
TMTC3
TMUB1
UNC5B-AS1
GPD1L
SMAP1
CDKN1B
C11orf68
TMEM160
ATL2
PTGFRN
TSPAN14
MRPL34
USF2
HDAC4
EIF4E2
GBAS
IRF2BPL
CNN3
COX6B2
COX7B
DOCK6
KHDRBS3
YTHDC1
ZNF493
DARS
UHRF1BP1L
LGR4
DUSP6
RFK
PRPF38A
PLXDC2
ZDHHC3
MIEF1
APP
ACP1
PPP2CA
COX5B
C1D
EIF2AK3
FOPNL
PHB
SVIL
KIDINS220
LDOC1L
VGLL4
FXYD6
CD164
VBP1
DHRS7
DOCK4
MYO6
KRT8
TFG
SH3GLB1
TGFBR2
SYT7
PLCB4
TPM1
H3F3B
ANKRD6
MRFAP1L1
NDUFA4
MAF
FAM210B
KRT7
SCARB2
RRM2B
FASTKD2
FAM89B
REPIN1
SMARCB1
CLCN3
ZNF704
GNA11
CYP51A1
QSOX1
